"","season","date","team","game_num"
"7666","2008-2009","2008-11-16","ORL",10
"7667","2008-2009","2008-11-16","PHO",11
"7668","2008-2009","2008-11-16","SAC",11
"7669","2008-2009","2008-11-16","SAS",9
"7670","2008-2009","2008-11-16","TOR",9
"7671","2008-2009","2008-11-17","HOU",11
"7672","2008-2009","2008-11-17","LAC",10
"7673","2008-2009","2008-11-17","OKC",11
"7674","2008-2009","2008-11-17","PHO",12
"7675","2008-2009","2008-11-17","SAS",10
"7676","2008-2009","2008-11-17","UTA",11
"7677","2008-2009","2008-11-18","ATL",10
"7678","2008-2009","2008-11-18","BOS",12
"7679","2008-2009","2008-11-18","BRK",10
"7680","2008-2009","2008-11-18","CHA",10
"7681","2008-2009","2008-11-18","CHI",11
"7682","2008-2009","2008-11-18","CLE",11
"7683","2008-2009","2008-11-18","DAL",11
"7684","2008-2009","2008-11-18","DEN",11
"7685","2008-2009","2008-11-18","GSW",11
"7686","2008-2009","2008-11-18","IND",10
"7687","2008-2009","2008-11-18","LAL",9
"7688","2008-2009","2008-11-18","MEM",11
"7689","2008-2009","2008-11-18","MIA",11
"7690","2008-2009","2008-11-18","MIL",12
"7691","2008-2009","2008-11-18","NYK",11
"7692","2008-2009","2008-11-18","ORL",11
"7693","2008-2009","2008-11-18","POR",11
"7694","2008-2009","2008-11-18","SAC",12
"7695","2008-2009","2008-11-18","TOR",10
"7696","2008-2009","2008-11-18","WAS",8
"7697","2008-2009","2008-11-19","ATL",11
"7698","2008-2009","2008-11-19","CHI",12
"7699","2008-2009","2008-11-19","CLE",12
"7700","2008-2009","2008-11-19","DAL",12
"7701","2008-2009","2008-11-19","DEN",12
"7702","2008-2009","2008-11-19","DET",11
"7703","2008-2009","2008-11-19","HOU",12
"7704","2008-2009","2008-11-19","LAC",11
"7705","2008-2009","2008-11-19","MIA",12
"7706","2008-2009","2008-11-19","MIL",13
"7707","2008-2009","2008-11-19","MIN",10
"7708","2008-2009","2008-11-19","NOH",10
"7709","2008-2009","2008-11-19","OKC",12
"7710","2008-2009","2008-11-19","PHI",11
"7711","2008-2009","2008-11-19","POR",12
"7712","2008-2009","2008-11-19","SAC",13
"7713","2008-2009","2008-11-19","SAS",11
"7714","2008-2009","2008-11-19","TOR",11
"7715","2008-2009","2008-11-19","UTA",12
"7716","2008-2009","2008-11-19","WAS",9
"7717","2008-2009","2008-11-20","BOS",13
"7718","2008-2009","2008-11-20","DET",12
"7719","2008-2009","2008-11-20","LAL",10
"7720","2008-2009","2008-11-20","PHO",13
"7721","2008-2009","2008-11-21","ATL",12
"7722","2008-2009","2008-11-21","BOS",14
"7723","2008-2009","2008-11-21","BRK",11
"7724","2008-2009","2008-11-21","CHA",11
"7725","2008-2009","2008-11-21","CHI",13
"7726","2008-2009","2008-11-21","DAL",13
"7727","2008-2009","2008-11-21","DEN",13
"7728","2008-2009","2008-11-21","GSW",12
"7729","2008-2009","2008-11-21","HOU",13
"7730","2008-2009","2008-11-21","IND",11
"7731","2008-2009","2008-11-21","LAC",12
"7732","2008-2009","2008-11-21","LAL",11
"7733","2008-2009","2008-11-21","MEM",12
"7734","2008-2009","2008-11-21","MIL",14
"7735","2008-2009","2008-11-21","MIN",11
"7736","2008-2009","2008-11-21","NOH",11
"7737","2008-2009","2008-11-21","NYK",12
"7738","2008-2009","2008-11-21","OKC",13
"7739","2008-2009","2008-11-21","ORL",12
"7740","2008-2009","2008-11-21","PHI",12
"7741","2008-2009","2008-11-21","POR",13
"7742","2008-2009","2008-11-21","SAC",14
"7743","2008-2009","2008-11-21","SAS",12
"7744","2008-2009","2008-11-21","TOR",12
"7745","2008-2009","2008-11-21","UTA",13
"7746","2008-2009","2008-11-21","WAS",10
"7747","2008-2009","2008-11-22","ATL",13
"7748","2008-2009","2008-11-22","BRK",12
"7749","2008-2009","2008-11-22","CHA",12
"7750","2008-2009","2008-11-22","CLE",13
"7751","2008-2009","2008-11-22","HOU",14
"7752","2008-2009","2008-11-22","IND",12
"7753","2008-2009","2008-11-22","LAC",13
"7754","2008-2009","2008-11-22","MEM",13
"7755","2008-2009","2008-11-22","MIA",13
"7756","2008-2009","2008-11-22","MIL",15
"7757","2008-2009","2008-11-22","NOH",12
"7758","2008-2009","2008-11-22","NYK",13
"7759","2008-2009","2008-11-22","OKC",14
"7760","2008-2009","2008-11-22","ORL",13
"7761","2008-2009","2008-11-22","PHO",14
"7762","2008-2009","2008-11-22","POR",14
"7763","2008-2009","2008-11-22","UTA",14
"7764","2008-2009","2008-11-22","WAS",11
"7765","2008-2009","2008-11-23","BOS",15
"7766","2008-2009","2008-11-23","CHI",14
"7767","2008-2009","2008-11-23","DEN",14
"7768","2008-2009","2008-11-23","DET",13
"7769","2008-2009","2008-11-23","GSW",13
"7770","2008-2009","2008-11-23","LAL",12
"7771","2008-2009","2008-11-23","MIN",12
"7772","2008-2009","2008-11-23","PHI",13
"7773","2008-2009","2008-11-23","SAC",15
"7774","2008-2009","2008-11-23","TOR",13
"7775","2008-2009","2008-11-24","CHA",13
"7776","2008-2009","2008-11-24","CHI",15
"7777","2008-2009","2008-11-24","HOU",15
"7778","2008-2009","2008-11-24","LAC",14
"7779","2008-2009","2008-11-24","MEM",14
"7780","2008-2009","2008-11-24","MIA",14
"7781","2008-2009","2008-11-24","MIL",16
"7782","2008-2009","2008-11-24","NOH",13
"7783","2008-2009","2008-11-24","ORL",14
"7784","2008-2009","2008-11-24","PHI",14
"7785","2008-2009","2008-11-24","POR",15
"7786","2008-2009","2008-11-24","SAC",16
"7787","2008-2009","2008-11-24","SAS",13
"7788","2008-2009","2008-11-24","UTA",15
"7789","2008-2009","2008-11-25","BRK",13
"7790","2008-2009","2008-11-25","CLE",14
"7791","2008-2009","2008-11-25","DAL",14
"7792","2008-2009","2008-11-25","GSW",14
"7793","2008-2009","2008-11-25","IND",13
"7794","2008-2009","2008-11-25","LAL",13
"7795","2008-2009","2008-11-25","NYK",14
"7796","2008-2009","2008-11-25","OKC",15
"7797","2008-2009","2008-11-25","PHO",15
"7798","2008-2009","2008-11-25","WAS",12
"7799","2008-2009","2008-11-26","ATL",14
"7800","2008-2009","2008-11-26","BOS",16
"7801","2008-2009","2008-11-26","BRK",14
"7802","2008-2009","2008-11-26","CHA",14
"7803","2008-2009","2008-11-26","CHI",16
"7804","2008-2009","2008-11-26","CLE",15
"7805","2008-2009","2008-11-26","DEN",15
"7806","2008-2009","2008-11-26","DET",14
"7807","2008-2009","2008-11-26","GSW",15
"7808","2008-2009","2008-11-26","HOU",16
"7809","2008-2009","2008-11-26","IND",14
"7810","2008-2009","2008-11-26","LAC",15
"7811","2008-2009","2008-11-26","MEM",15
"7812","2008-2009","2008-11-26","MIA",15
"7813","2008-2009","2008-11-26","MIL",17
"7814","2008-2009","2008-11-26","MIN",13
"7815","2008-2009","2008-11-26","NYK",15
"7816","2008-2009","2008-11-26","OKC",16
"7817","2008-2009","2008-11-26","ORL",15
"7818","2008-2009","2008-11-26","PHI",15
"7819","2008-2009","2008-11-26","PHO",16
"7820","2008-2009","2008-11-26","POR",16
"7821","2008-2009","2008-11-26","SAC",17
"7822","2008-2009","2008-11-26","SAS",14
"7823","2008-2009","2008-11-26","TOR",14
"7824","2008-2009","2008-11-26","UTA",16
"7825","2008-2009","2008-11-27","DEN",16
"7826","2008-2009","2008-11-27","NOH",14
"7827","2008-2009","2008-11-27","ORL",16
"7828","2008-2009","2008-11-27","WAS",13
"7829","2008-2009","2008-11-28","ATL",15
"7830","2008-2009","2008-11-28","BOS",17
"7831","2008-2009","2008-11-28","CHA",15
"7832","2008-2009","2008-11-28","CLE",16
"7833","2008-2009","2008-11-28","DAL",15
"7834","2008-2009","2008-11-28","DET",15
"7835","2008-2009","2008-11-28","GSW",16
"7836","2008-2009","2008-11-28","IND",15
"7837","2008-2009","2008-11-28","LAL",14
"7838","2008-2009","2008-11-28","MEM",16
"7839","2008-2009","2008-11-28","MIA",16
"7840","2008-2009","2008-11-28","MIL",18
"7841","2008-2009","2008-11-28","MIN",14
"7842","2008-2009","2008-11-28","NOH",15
"7843","2008-2009","2008-11-28","OKC",17
"7844","2008-2009","2008-11-28","PHI",16
"7845","2008-2009","2008-11-28","PHO",17
"7846","2008-2009","2008-11-28","POR",17
"7847","2008-2009","2008-11-28","SAC",18
"7848","2008-2009","2008-11-28","SAS",15
"7849","2008-2009","2008-11-28","TOR",15
"7850","2008-2009","2008-11-28","UTA",17
"7851","2008-2009","2008-11-29","ATL",16
"7852","2008-2009","2008-11-29","BOS",18
"7853","2008-2009","2008-11-29","BRK",15
"7854","2008-2009","2008-11-29","CHA",16
"7855","2008-2009","2008-11-29","CLE",17
"7856","2008-2009","2008-11-29","DAL",16
"7857","2008-2009","2008-11-29","DEN",17
"7858","2008-2009","2008-11-29","GSW",17
"7859","2008-2009","2008-11-29","HOU",17
"7860","2008-2009","2008-11-29","IND",16
"7861","2008-2009","2008-11-29","LAC",16
"7862","2008-2009","2008-11-29","MEM",17
"7863","2008-2009","2008-11-29","MIA",17
"7864","2008-2009","2008-11-29","MIL",19
"7865","2008-2009","2008-11-29","MIN",15
"7866","2008-2009","2008-11-29","NYK",16
"7867","2008-2009","2008-11-29","OKC",18
"7868","2008-2009","2008-11-29","ORL",17
"7869","2008-2009","2008-11-29","SAC",19
"7870","2008-2009","2008-11-29","SAS",16
"7871","2008-2009","2008-11-29","UTA",18
"7872","2008-2009","2008-11-29","WAS",14
"7873","2008-2009","2008-11-30","BRK",16
"7874","2008-2009","2008-11-30","CHI",17
"7875","2008-2009","2008-11-30","DEN",18
"7876","2008-2009","2008-11-30","DET",16
"7877","2008-2009","2008-11-30","HOU",18
"7878","2008-2009","2008-11-30","LAL",15
"7879","2008-2009","2008-11-30","PHI",17
"7880","2008-2009","2008-11-30","PHO",18
"7881","2008-2009","2008-11-30","POR",18
"7882","2008-2009","2008-11-30","TOR",16
"7883","2008-2009","2008-12-01","BOS",19
"7884","2008-2009","2008-12-01","CHA",17
"7885","2008-2009","2008-12-01","GSW",18
"7886","2008-2009","2008-12-01","MIA",18
"7887","2008-2009","2008-12-01","MIN",16
"7888","2008-2009","2008-12-01","ORL",18
"7889","2008-2009","2008-12-02","BRK",17
"7890","2008-2009","2008-12-02","CHI",18
"7891","2008-2009","2008-12-02","DAL",17
"7892","2008-2009","2008-12-02","DEN",19
"7893","2008-2009","2008-12-02","DET",17
"7894","2008-2009","2008-12-02","IND",17
"7895","2008-2009","2008-12-02","LAC",17
"7896","2008-2009","2008-12-02","LAL",16
"7897","2008-2009","2008-12-02","NYK",17
"7898","2008-2009","2008-12-02","PHI",18
"7899","2008-2009","2008-12-02","POR",19
"7900","2008-2009","2008-12-02","SAC",20
"7901","2008-2009","2008-12-02","SAS",17
"7902","2008-2009","2008-12-02","TOR",17
"7903","2008-2009","2008-12-02","UTA",19
"7904","2008-2009","2008-12-02","WAS",15
"7905","2008-2009","2008-12-03","ATL",17
"7906","2008-2009","2008-12-03","BOS",20
"7907","2008-2009","2008-12-03","CHA",18
"7908","2008-2009","2008-12-03","CHI",19
"7909","2008-2009","2008-12-03","CLE",18
"7910","2008-2009","2008-12-03","HOU",19
"7911","2008-2009","2008-12-03","IND",18
"7912","2008-2009","2008-12-03","LAC",18
"7913","2008-2009","2008-12-03","LAL",17
"7914","2008-2009","2008-12-03","MEM",18
"7915","2008-2009","2008-12-03","MIA",19
"7916","2008-2009","2008-12-03","MIL",20
"7917","2008-2009","2008-12-03","MIN",17
"7918","2008-2009","2008-12-03","NOH",16
"7919","2008-2009","2008-12-03","NYK",18
"7920","2008-2009","2008-12-03","OKC",19
"7921","2008-2009","2008-12-03","ORL",19
"7922","2008-2009","2008-12-03","PHI",19
"7923","2008-2009","2008-12-03","PHO",19
"7924","2008-2009","2008-12-03","POR",20
"7925","2008-2009","2008-12-03","UTA",20
"7926","2008-2009","2008-12-03","WAS",16
"7927","2008-2009","2008-12-04","DAL",18
"7928","2008-2009","2008-12-04","DEN",20
"7929","2008-2009","2008-12-04","PHO",20
"7930","2008-2009","2008-12-04","SAS",18
"7931","2008-2009","2008-12-05","ATL",18
"7932","2008-2009","2008-12-05","BOS",21
"7933","2008-2009","2008-12-05","BRK",18
"7934","2008-2009","2008-12-05","CHA",19
"7935","2008-2009","2008-12-05","CLE",19
"7936","2008-2009","2008-12-05","DET",18
"7937","2008-2009","2008-12-05","GSW",19
"7938","2008-2009","2008-12-05","HOU",20
"7939","2008-2009","2008-12-05","IND",19
"7940","2008-2009","2008-12-05","LAC",19
"7941","2008-2009","2008-12-05","LAL",18
"7942","2008-2009","2008-12-05","MEM",19
"7943","2008-2009","2008-12-05","MIL",21
"7944","2008-2009","2008-12-05","MIN",18
"7945","2008-2009","2008-12-05","NYK",19
"7946","2008-2009","2008-12-05","OKC",20
"7947","2008-2009","2008-12-05","ORL",20
"7948","2008-2009","2008-12-05","PHI",20
"7949","2008-2009","2008-12-05","POR",21
"7950","2008-2009","2008-12-05","TOR",18
"7951","2008-2009","2008-12-05","UTA",21
"7952","2008-2009","2008-12-05","WAS",17
"7953","2008-2009","2008-12-06","ATL",19
"7954","2008-2009","2008-12-06","BRK",19
"7955","2008-2009","2008-12-06","CHA",20
"7956","2008-2009","2008-12-06","CHI",20
"7957","2008-2009","2008-12-06","CLE",20
"7958","2008-2009","2008-12-06","DAL",19
"7959","2008-2009","2008-12-06","DEN",21
"7960","2008-2009","2008-12-06","GSW",20
"7961","2008-2009","2008-12-06","LAC",20
"7962","2008-2009","2008-12-06","MEM",20
"7963","2008-2009","2008-12-06","MIA",20
"7964","2008-2009","2008-12-06","MIN",19
"7965","2008-2009","2008-12-06","NOH",17
"7966","2008-2009","2008-12-06","OKC",21
"7967","2008-2009","2008-12-06","PHI",21
"7968","2008-2009","2008-12-06","PHO",21
"7969","2008-2009","2008-12-06","SAC",21
"7970","2008-2009","2008-12-06","SAS",19
"7971","2008-2009","2008-12-06","UTA",22
"7972","2008-2009","2008-12-06","WAS",18
"7973","2008-2009","2008-12-07","BOS",22
"7974","2008-2009","2008-12-07","DET",19
"7975","2008-2009","2008-12-07","IND",20
"7976","2008-2009","2008-12-07","LAL",19
"7977","2008-2009","2008-12-07","MIL",22
"7978","2008-2009","2008-12-07","NYK",20
"7979","2008-2009","2008-12-07","POR",22
"7980","2008-2009","2008-12-07","TOR",19
"7981","2008-2009","2008-12-08","CHA",21
"7982","2008-2009","2008-12-08","GSW",21
"7983","2008-2009","2008-12-08","HOU",21
"7984","2008-2009","2008-12-08","LAC",21
"7985","2008-2009","2008-12-08","MEM",21
"7986","2008-2009","2008-12-08","MIA",21
"7987","2008-2009","2008-12-08","OKC",22
"7988","2008-2009","2008-12-08","ORL",21
"7989","2008-2009","2008-12-09","ATL",20
"7990","2008-2009","2008-12-09","CHI",21
"7991","2008-2009","2008-12-09","CLE",21
"7992","2008-2009","2008-12-09","DAL",20
"7993","2008-2009","2008-12-09","DET",20
"7994","2008-2009","2008-12-09","HOU",22
"7995","2008-2009","2008-12-09","LAL",20
"7996","2008-2009","2008-12-09","MIL",23
"7997","2008-2009","2008-12-09","MIN",20
"7998","2008-2009","2008-12-09","NYK",21
"7999","2008-2009","2008-12-09","ORL",22
"8000","2008-2009","2008-12-09","PHO",22
"8001","2008-2009","2008-12-09","POR",23
"8002","2008-2009","2008-12-09","SAC",22
"8003","2008-2009","2008-12-09","SAS",20
"8004","2008-2009","2008-12-09","TOR",20
"8005","2008-2009","2008-12-09","UTA",23
"8006","2008-2009","2008-12-09","WAS",19
"8007","2008-2009","2008-12-10","ATL",21
"8008","2008-2009","2008-12-10","BRK",20
"8009","2008-2009","2008-12-10","CHA",22
"8010","2008-2009","2008-12-10","CLE",22
"8011","2008-2009","2008-12-10","DEN",22
"8012","2008-2009","2008-12-10","GSW",22
"8013","2008-2009","2008-12-10","IND",21
"8014","2008-2009","2008-12-10","LAL",21
"8015","2008-2009","2008-12-10","MEM",22
"8016","2008-2009","2008-12-10","MIL",24
"8017","2008-2009","2008-12-10","MIN",21
"8018","2008-2009","2008-12-10","NOH",18
"8019","2008-2009","2008-12-10","NYK",22
"8020","2008-2009","2008-12-10","OKC",23
"8021","2008-2009","2008-12-10","PHI",22
"8022","2008-2009","2008-12-10","PHO",23
"8023","2008-2009","2008-12-10","SAS",21
"8024","2008-2009","2008-12-10","TOR",21
"8025","2008-2009","2008-12-11","BOS",23
"8026","2008-2009","2008-12-11","CHA",23
"8027","2008-2009","2008-12-11","DAL",21
"8028","2008-2009","2008-12-11","POR",24
"8029","2008-2009","2008-12-11","UTA",24
"8030","2008-2009","2008-12-11","WAS",20
"8031","2008-2009","2008-12-12","ATL",22
"8032","2008-2009","2008-12-12","BOS",24
"8033","2008-2009","2008-12-12","BRK",21
"8034","2008-2009","2008-12-12","CHI",22
"8035","2008-2009","2008-12-12","CLE",23
"8036","2008-2009","2008-12-12","DET",21
"8037","2008-2009","2008-12-12","GSW",23
"8038","2008-2009","2008-12-12","HOU",23
"8039","2008-2009","2008-12-12","IND",22
"8040","2008-2009","2008-12-12","LAC",22
"8041","2008-2009","2008-12-12","LAL",22
"8042","2008-2009","2008-12-12","MEM",23
"8043","2008-2009","2008-12-12","MIA",22
"8044","2008-2009","2008-12-12","MIN",22
"8045","2008-2009","2008-12-12","NOH",19
"8046","2008-2009","2008-12-12","ORL",23
"8047","2008-2009","2008-12-12","PHI",23
"8048","2008-2009","2008-12-12","PHO",24
"8049","2008-2009","2008-12-12","POR",25
"8050","2008-2009","2008-12-12","SAC",23
"8051","2008-2009","2008-12-12","SAS",22
"8052","2008-2009","2008-12-12","TOR",22
"8053","2008-2009","2008-12-13","ATL",23
"8054","2008-2009","2008-12-13","BRK",22
"8055","2008-2009","2008-12-13","CHA",24
"8056","2008-2009","2008-12-13","CHI",23
"8057","2008-2009","2008-12-13","CLE",24
"8058","2008-2009","2008-12-13","DAL",22
"8059","2008-2009","2008-12-13","DEN",23
"8060","2008-2009","2008-12-13","DET",22
"8061","2008-2009","2008-12-13","GSW",24
"8062","2008-2009","2008-12-13","HOU",24
"8063","2008-2009","2008-12-13","IND",23
"8064","2008-2009","2008-12-13","LAC",23
"8065","2008-2009","2008-12-13","MIL",25
"8066","2008-2009","2008-12-13","NYK",23
"8067","2008-2009","2008-12-13","OKC",24
"8068","2008-2009","2008-12-13","ORL",24
"8069","2008-2009","2008-12-13","PHI",24
"8070","2008-2009","2008-12-13","SAC",24
"8071","2008-2009","2008-12-13","UTA",25
"8072","2008-2009","2008-12-13","WAS",21
"8073","2008-2009","2008-12-14","LAL",23
"8074","2008-2009","2008-12-14","MEM",24
"8075","2008-2009","2008-12-14","MIA",23
"8076","2008-2009","2008-12-14","MIN",23
"8077","2008-2009","2008-12-14","NOH",20
"8078","2008-2009","2008-12-14","OKC",25
"8079","2008-2009","2008-12-14","SAS",23
"8080","2008-2009","2008-12-14","TOR",23
"8081","2008-2009","2008-12-15","ATL",24
"8082","2008-2009","2008-12-15","BOS",25
"8083","2008-2009","2008-12-15","BRK",23
"8084","2008-2009","2008-12-15","CHA",25
"8085","2008-2009","2008-12-15","DAL",23
"8086","2008-2009","2008-12-15","DEN",24
"8087","2008-2009","2008-12-15","GSW",25
"8088","2008-2009","2008-12-15","IND",24
"8089","2008-2009","2008-12-15","MIA",24
"8090","2008-2009","2008-12-15","MIL",26
"8091","2008-2009","2008-12-15","MIN",24
"8092","2008-2009","2008-12-15","NYK",24
"8093","2008-2009","2008-12-15","ORL",25
"8094","2008-2009","2008-12-15","PHO",25
"8095","2008-2009","2008-12-15","SAC",25
"8096","2008-2009","2008-12-15","TOR",24
"8097","2008-2009","2008-12-15","UTA",26
"8098","2008-2009","2008-12-15","WAS",22
"8099","2008-2009","2008-12-16","CHA",26
"8100","2008-2009","2008-12-16","CHI",24
"8101","2008-2009","2008-12-16","DEN",25
"8102","2008-2009","2008-12-16","HOU",25
"8103","2008-2009","2008-12-16","LAC",24
"8104","2008-2009","2008-12-16","LAL",24
"8105","2008-2009","2008-12-16","MEM",25
"8106","2008-2009","2008-12-16","NOH",21
"8107","2008-2009","2008-12-16","NYK",25
"8108","2008-2009","2008-12-16","OKC",26
"8109","2008-2009","2008-12-16","POR",26
"8110","2008-2009","2008-12-16","SAC",26
"8111","2008-2009","2008-12-17","ATL",25
"8112","2008-2009","2008-12-17","BOS",26
"8113","2008-2009","2008-12-17","BRK",24
"8114","2008-2009","2008-12-17","CHI",25
"8115","2008-2009","2008-12-17","CLE",25
"8116","2008-2009","2008-12-17","DAL",24
"8117","2008-2009","2008-12-17","DET",23
"8118","2008-2009","2008-12-17","GSW",26
"8119","2008-2009","2008-12-17","IND",25
"8120","2008-2009","2008-12-17","LAC",25
"8121","2008-2009","2008-12-17","MIL",27
"8122","2008-2009","2008-12-17","MIN",25
"8123","2008-2009","2008-12-17","NOH",22
"8124","2008-2009","2008-12-17","PHI",25
"8125","2008-2009","2008-12-17","SAS",24
"8126","2008-2009","2008-12-17","TOR",25
"8127","2008-2009","2008-12-17","UTA",27
"8128","2008-2009","2008-12-17","WAS",23
"8129","2008-2009","2008-12-18","ORL",26
"8130","2008-2009","2008-12-18","PHO",26
"8131","2008-2009","2008-12-18","POR",27
"8132","2008-2009","2008-12-18","SAS",25
"8133","2008-2009","2008-12-19","ATL",26
"8134","2008-2009","2008-12-19","BOS",27
"8135","2008-2009","2008-12-19","BRK",25
"8136","2008-2009","2008-12-19","CHA",27
"8137","2008-2009","2008-12-19","CHI",26
"8138","2008-2009","2008-12-19","CLE",26
"8139","2008-2009","2008-12-19","DAL",25
"8140","2008-2009","2008-12-19","DEN",26
"8141","2008-2009","2008-12-19","DET",24
"8142","2008-2009","2008-12-19","GSW",27
"8143","2008-2009","2008-12-19","HOU",26
"8144","2008-2009","2008-12-19","IND",26
"8145","2008-2009","2008-12-19","LAC",26
"8146","2008-2009","2008-12-19","LAL",25
"8147","2008-2009","2008-12-19","MEM",26
"8148","2008-2009","2008-12-19","MIA",25
"8149","2008-2009","2008-12-19","MIL",28
"8150","2008-2009","2008-12-19","NYK",26
"8151","2008-2009","2008-12-19","OKC",27
"8152","2008-2009","2008-12-19","PHI",26
"8153","2008-2009","2008-12-19","SAC",27
"8154","2008-2009","2008-12-19","TOR",26
"8155","2008-2009","2008-12-19","UTA",28
"8156","2008-2009","2008-12-19","WAS",24
"8157","2008-2009","2008-12-20","BRK",26
"8158","2008-2009","2008-12-20","CHA",28
"8159","2008-2009","2008-12-20","CHI",27
"8160","2008-2009","2008-12-20","DEN",27
"8161","2008-2009","2008-12-20","GSW",28
"8162","2008-2009","2008-12-20","HOU",27
"8163","2008-2009","2008-12-20","IND",27
"8164","2008-2009","2008-12-20","LAC",27
"8165","2008-2009","2008-12-20","LAL",26
"8166","2008-2009","2008-12-20","MIA",26
"8167","2008-2009","2008-12-20","MIL",29
"8168","2008-2009","2008-12-20","MIN",26
"8169","2008-2009","2008-12-20","NOH",23
"8170","2008-2009","2008-12-20","ORL",27
"8171","2008-2009","2008-12-20","PHI",27
"8172","2008-2009","2008-12-20","PHO",27
"8173","2008-2009","2008-12-20","SAC",28
"8174","2008-2009","2008-12-20","SAS",26
"8175","2008-2009","2008-12-20","TOR",27
"8176","2008-2009","2008-12-20","UTA",29
"8177","2008-2009","2008-12-21","ATL",27
"8178","2008-2009","2008-12-21","BOS",28
"8179","2008-2009","2008-12-21","CLE",27
"8180","2008-2009","2008-12-21","DAL",26
"8181","2008-2009","2008-12-21","DET",25
"8182","2008-2009","2008-12-21","NYK",27
"8183","2008-2009","2008-12-21","OKC",28
"8184","2008-2009","2008-12-21","WAS",25
"8185","2008-2009","2008-12-22","BRK",27
"8186","2008-2009","2008-12-22","DEN",28
"8187","2008-2009","2008-12-22","GSW",29
"8188","2008-2009","2008-12-22","HOU",28
"8189","2008-2009","2008-12-22","LAC",28
"8190","2008-2009","2008-12-22","LAL",27
"8191","2008-2009","2008-12-22","MEM",27
"8192","2008-2009","2008-12-22","ORL",28
"8193","2008-2009","2008-12-22","POR",28
"8194","2008-2009","2008-12-22","SAC",29
"8195","2008-2009","2008-12-22","SAS",27
"8196","2008-2009","2008-12-22","TOR",28
"8197","2008-2009","2008-12-23","ATL",28
"8198","2008-2009","2008-12-23","BOS",29
"8199","2008-2009","2008-12-23","BRK",28
"8200","2008-2009","2008-12-23","CHA",29
"8201","2008-2009","2008-12-23","CHI",28
"8202","2008-2009","2008-12-23","CLE",28
"8203","2008-2009","2008-12-23","DAL",27
"8204","2008-2009","2008-12-23","DEN",29
"8205","2008-2009","2008-12-23","DET",26
"8206","2008-2009","2008-12-23","GSW",30
"8207","2008-2009","2008-12-23","HOU",29
"8208","2008-2009","2008-12-23","IND",28
"8209","2008-2009","2008-12-23","LAL",28
"8210","2008-2009","2008-12-23","MEM",28
"8211","2008-2009","2008-12-23","MIA",27
"8212","2008-2009","2008-12-23","MIL",30
"8213","2008-2009","2008-12-23","MIN",27
"8214","2008-2009","2008-12-23","NOH",24
"8215","2008-2009","2008-12-23","OKC",29
"8216","2008-2009","2008-12-23","PHI",28
"8217","2008-2009","2008-12-23","POR",29
"8218","2008-2009","2008-12-23","SAS",28
"8219","2008-2009","2008-12-23","UTA",30
"8220","2008-2009","2008-12-23","WAS",26
"8221","2008-2009","2008-12-25","BOS",30
"8222","2008-2009","2008-12-25","CLE",29
"8223","2008-2009","2008-12-25","DAL",28
"8224","2008-2009","2008-12-25","LAL",29
"8225","2008-2009","2008-12-25","NOH",25
"8226","2008-2009","2008-12-25","ORL",29
"8227","2008-2009","2008-12-25","PHO",28
"8228","2008-2009","2008-12-25","POR",30
"8229","2008-2009","2008-12-25","SAS",29
"8230","2008-2009","2008-12-25","WAS",27
"8231","2008-2009","2008-12-26","BOS",31
"8232","2008-2009","2008-12-26","BRK",29
"8233","2008-2009","2008-12-26","CHA",30
"8234","2008-2009","2008-12-26","CHI",29
"8235","2008-2009","2008-12-26","DAL",29
"8236","2008-2009","2008-12-26","DEN",30
"8237","2008-2009","2008-12-26","DET",27
"8238","2008-2009","2008-12-26","GSW",31
"8239","2008-2009","2008-12-26","HOU",30
"8240","2008-2009","2008-12-26","IND",29
"8241","2008-2009","2008-12-26","MEM",29
"8242","2008-2009","2008-12-26","MIA",28
"8243","2008-2009","2008-12-26","MIN",28
"8244","2008-2009","2008-12-26","NOH",26
"8245","2008-2009","2008-12-26","NYK",28
"8246","2008-2009","2008-12-26","OKC",30
"8247","2008-2009","2008-12-26","PHI",29
"8248","2008-2009","2008-12-26","SAC",30
"8249","2008-2009","2008-12-26","TOR",29
"8250","2008-2009","2008-12-26","UTA",31
"8251","2008-2009","2008-12-27","ATL",29
"8252","2008-2009","2008-12-27","BRK",30
"8253","2008-2009","2008-12-27","CHA",31
"8254","2008-2009","2008-12-27","CHI",30
"8255","2008-2009","2008-12-27","DET",28
"8256","2008-2009","2008-12-27","HOU",31
"8257","2008-2009","2008-12-27","MEM",30
"8258","2008-2009","2008-12-27","MIL",31
"8259","2008-2009","2008-12-27","MIN",29
"8260","2008-2009","2008-12-27","OKC",31
"8261","2008-2009","2008-12-27","ORL",30
"8262","2008-2009","2008-12-27","POR",31
"8263","2008-2009","2008-12-27","SAS",30
"8264","2008-2009","2008-12-27","TOR",30
"8265","2008-2009","2008-12-27","UTA",32
"8266","2008-2009","2008-12-27","WAS",28
"8267","2008-2009","2008-12-28","BOS",32
"8268","2008-2009","2008-12-28","CLE",30
"8269","2008-2009","2008-12-28","DAL",30
"8270","2008-2009","2008-12-28","DEN",31
"8271","2008-2009","2008-12-28","GSW",32
"8272","2008-2009","2008-12-28","IND",30
"8273","2008-2009","2008-12-28","LAC",29
"8274","2008-2009","2008-12-28","LAL",30
"8275","2008-2009","2008-12-28","MIA",29
